[2022-08-29 10:26:36,054] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:26:48,668] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:27:01,218] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:27:13,808] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:27:26,405] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:27:39,002] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:27:51,619] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:28:04,220] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:28:16,779] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:31,147] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:31,182] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:31,213] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:31,246] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:31,280] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:32,331] - outPutLog.py] - INFO: 获取alter信息
[2022-08-29 10:29:34,362] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:34,409] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:34,441] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:34,468] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:34,506] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:35,545] - outPutLog.py] - INFO: 获取alter信息
[2022-08-29 10:29:37,594] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:37,636] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:37,686] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:37,714] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:37,749] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:38,798] - outPutLog.py] - INFO: 获取alter信息
[2022-08-29 10:29:40,849] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:40,894] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:40,936] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:40,965] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:41,004] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:42,045] - outPutLog.py] - INFO: 获取alter信息
[2022-08-29 10:29:44,085] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:44,131] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:44,177] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:44,205] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:44,242] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:45,283] - outPutLog.py] - INFO: 获取alter信息
[2022-08-29 10:29:47,324] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:47,366] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:47,411] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:47,439] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:47,486] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:48,521] - outPutLog.py] - INFO: 获取alter信息
[2022-08-29 10:29:50,568] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:50,609] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:50,665] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:50,691] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:50,729] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:51,768] - outPutLog.py] - INFO: 获取alter信息
[2022-08-29 10:29:53,809] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:53,874] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:53,949] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:53,981] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:54,022] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:55,063] - outPutLog.py] - INFO: 获取alter信息
[2022-08-29 10:29:57,116] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:57,162] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:57,216] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:57,243] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:57,285] - outPutLog.py] - INFO: 开始定位元素
[2022-08-29 10:29:58,360] - outPutLog.py] - INFO: 获取alter信息
